A02	Other Salmonella infections-
X76	Intentional self-harm by smoke, fire and flames-
X760	Home1
X78	Intentional self-harm by sharp object-
X780	Home13
X788	Other specified place3
X80	Intentional self-harm by jumping from a high place-
X800	Home2
X804	Street and highway1
X805	Trade and service area1
X808	Other specified place9
X81	Intentional self-harm by jumping or lying before moving object-
X815	Trade and service area8
X818	Other specified place7
X83	Intentional self-harm by other specified means-
X830	Home1
X84	Intentional self-harm by unspecified means-
X840	Home6
X844	Street and highway2
X845	Trade and service area1
X848	Other specified place5
X849	Unspecified place4
X99	Assault by sharp object-

Y10	Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent-

Y11	Poisoning by and exposure to antiepileptic, sedative-hypnotic, anti-Parkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent-
Y110	Home2
Y12	Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent-
Y120	Home2
Y13	Poisoning by and exposure to other drugs acting on the autonomic nervous system, undetermined intent-
Y130	Home1
Y139	Unspecified place1
Y14	Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent-
Y140	Home2
Y141	Residential institution1
Y148	Other specified place1
Y149	Unspecified place1
Y17	Poisoning by and exposure to other gases and vapours, undetermined intent-

Y20	Hanging, strangulation and suffocation, undetermined intent-
Y200	Home7
Y208	Other specified place2
Y209	Unspecified place2
Y21	Drowning and submersion, undetermined intent-
Y218	Other specified place5
Y28	Contact with sharp object, undetermined intent-
Y280	Home3
Y288	Other specified place1
Y30	Falling, jumping or pushed from a high place, undetermined intent-
Y300	Home1
Y308	Other specified place1
Y31	Falling, lying or running before or into moving object, undetermined intent-
Y318	Other specified place1
Y34	Unspecified event, undetermined intent-
Y340	Home3
Y345	Trade and service area1
Y348	Other specified place1
Y349	Unspecified place1
Y40	Systemic antibiotics-
Y408	Other systemic antibiotics1
Y409	Systemic antibiotic, unspecified1
Y44	Agents primarily affecting blood constituents-
Y442	Anticoagulants1
Y60	Unintentional cut, puncture, perforation or haemorrhage during surgical and medical care-
Y600	During surgical operation2
Y65	Other misadventures during surgical and medical care-
Y658	Other specified misadventures during surgical and medical care1
Y83	Surgical operation and other surgical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure-
Y830	Surgical operation with transplant of whole organ4
Y831	Surgical operation with implant of artificial internal device6
Y832	Surgical operation with anastomosis, bypass or graft5
Y833	Surgical operation with formation of external stoma7
Y834	Other reconstructive surgery7
Y835	Amputation of limb(s)1
Y836	Removal of other organ (partial) (total)15
Y838	Other surgical procedures6
Y839	Surgical procedure, unspecified13
Y84	Other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure-
Y842	Radiological procedure and radiotherapy1
Y844	Aspiration of fluid1
Y846	Urinary catheterisation2
Y848	Other medical procedures7
Y85	Sequelae of transport accidents-
Y850	Sequelae of motor-vehicle accident3
Y859	Sequelae of other and unspecified transport accidents1
Y86	Sequelae of other accidents2
Y87	Sequelae of intentional self-harm, assault and events of undetermined intent-
Y870	Sequelae of intentional self-harm1
U07	Emergency use of U07-
U071	COVID-19 virus identified279
U072	COVID-19 virus not identified15
U50	Level of care administered to neonates-
U509	Inquest Adjourned Death34
